# 口语词频表 v3（SUBTLEX-CH 词级 + 字幕 2-gram 组合词，词\t频次）
么人	5295
人看	5295
打给	5295
提	5283
没关系	5276
最重	5263
斯	5262
不来	5254
杰克	5239
找一	5237
真的	5235
部分	5232
上床	5222
要求	5217
人要	5216
听不	5216
糟糕	5213
受不	5212
道怎	5198
哪一	5174
能给	5166
们对	5155
定很	5154
来啊	5148
除了	5147
想干	5147
容易	5146
保持	5144
男朋	5144
虽然	5141
办	5139
看得	5138
好嗎	5137
能去	5135
教	5127
想到	5127
理解	5125
证据	5118
可真	5117
加	5110
会成	5094
会没	5094
脸	5093
简单	5089
不同	5087
夫人	5082
只不	5082
父母	5081
重	5079
恩	5073
性恋	5062
曾	5051
常感	5050
段时	5050
事实	5029
飞机	5020
家庭	5017
象	5011
装	5006
秘密	5001
法	4997
想什	4997
尸体	4994
打开	4989
得更	4989
会看	4977
季	4967
检查	4967
過來	4962
觉到	4960
早上	4953
兴见	4938
玩笑	4933
会打	4932
任务	4929
以帮	4926
中一	4921
干得	4920
现场	4917
去一	4917
使	4915
床上	4903
快来	4897
转	4884
能告	4882
博士	4881
直到	4866
發生	4862
喝一	4856
紧张	4855
二	4849
简直	4843
们之	4837
放弃	4823
们先	4822
好啦	4820
小子	4818
不着	4817
电视	4816
强	4814
想听	4813
不好意思	4805
大概	4804
的确	4803
们打	4800
特	4792
药	4788
回到	4787
人可	4787
男孩	4779
一人	4778
音乐	4776
里没	4775
身体	4764
么来	4763
血	4749
来过	4748
最喜	4742
题吗	4727
留下	4720
方式	4711
伤	4709
一辆	4706
怪	4705
本没	4704
美元	4701
離開	4692
会出	4690
們不	4678
识到	4674
监狱	4671
听过	4669
多大	4662
读	4661
们认	4659
楷体	4658
出一	4657
这边	4651
全不	4649
管怎	4645
安德	4640
到过	4639
重新	4637
瞧	4634
疯狂	4632
得怎	4625
道不	4624
想怎	4621
以做	4620
两天	4619
意到	4615
以看	4609
收到	4605
们再	4604
其中	4603
片	4597
很清	4597
以為	4593
人呢	4588
下來	4587
几年	4578
想法	4574
纽约	4566
家里	4563
黑	4563
西班	4555
要死	4554
活下	4543
班牙	4543
得吗	4542
为自	4541
所知	4538
身	4526
还要	4524
们以	4524
道为	4514
们出	4509
作	4501
年来	4501
后面	4500
成一	4500
会带	4500
性	4493
带来	4492
只需	4492
這種	4486
昨天	4483
不好	4482
抓住	4481
出什	4481
记录	4480
不打	4478
经不	4476
该去	4475
点儿	4472
们今	4471
這兒	4471
老兄	4467
麼樣	4465
来自	4462
去死	4459
越	4457
大学	4455
照顾	4451
好极	4446
不开	4433
太太	4432
着一	4426
找出	4423
聪明	4415
本来	4415
能听	4414
加油	4411
实际上	4410
不回	4406
甜	4400
常好	4396
必須	4396
怕	4395
多久	4392
并且	4389
墨西	4387
直接	4383
準備	4383
西哥	4383
道该	4375
对于	4373
想一	4373
人想	4373
记	4372
不关	4371
会喜	4368
突然	4366
啥	4366
